key,population,area_km,population_density,cluster
Brazil.regions.BA:Caldeirão Grande,13327.0,458.311,29.078507825472226,13
Brazil.regions.BA:Camacan,31988.0,584.848,54.694553114655434,122
Brazil.regions.BA:Camaçari,299132.0,785.335,380.89732407189285,24
Brazil.regions.BA:Campo Alegre de Lourdes,28798.0,2781.17,10.354634919835895,66
Brazil.regions.BA:Campo Formoso,71206.0,7161.827,9.942435079763865,81
Brazil.regions.BA:Canarana,26176.0,579.727,45.15228719724974,7
Brazil.regions.BA:Canavieiras,31099.0,1334.295,23.30743950925395,13
Brazil.regions.BA:Candeias,87076.0,251.628,346.0505190201409,23
Brazil.regions.BA:Cansanção,34834.0,1351.891,25.766870258031155,13
Brazil.regions.BA:Capim Grosso,30662.0,464.776,65.97156479680534,49
Brazil.regions.BA:Castro Alves,26264.0,713.789,36.79518737329939,7
Brazil.regions.BA:Catu,54704.0,426.955,128.12591490906536,53
Brazil.regions.BA:Coaraci,16993.0,274.5,61.90528233151184,122
Brazil.regions.BA:Conceição do Coité,66612.0,1015.252,65.61129650569514,49
Brazil.regions.BA:Conceição do Jacuípe,33153.0,117.529,282.0835708633614,12
Brazil.regions.BA:Conde,25837.0,931.106,27.74872033903766,13
Brazil.regions.BA:Coração de Maria,22605.0,378.42,59.73521484065324,122
Brazil.regions.BA:Cravolândia,5349.0,182.585,29.295944354684117,13
Brazil.regions.BA:Cruz das Almas,63239.0,139.117,454.57420732189456,77
Brazil.regions.BA:Curaçá,34700.0,5935.944,5.84574248005035,66
Brazil.regions.BA:Dias d'Ávila,81089.0,184.23,440.15089833360474,77
Brazil.regions.BA:Euclides da Cunha,60585.0,1992.639,30.404403406738503,13
Brazil.regions.BA:Eunápolis,113380.0,1425.97,79.51078914703675,49
Brazil.regions.BA:Feira de Santana,614872.0,1304.425,471.37397703969185,69
Brazil.regions.BA:Floresta Azul,10629.0,321.013,33.11080859653659,7
Brazil.regions.BA:Gandu,32403.0,229.631,141.1089966076009,53
Brazil.regions.BA:Gongogi,7128.0,202.193,35.25344596499384,7
Brazil.regions.BA:Guanambi,84481.0,1272.366,66.3967757704937,49
Brazil.regions.BA:Ibicaraí,21689.0,230.953,93.91088230072785,73
Brazil.regions.BA:Ibirataia,15312.0,318.129,48.13141838688079,7
Brazil.regions.BA:Ibotirama,26927.0,1740.087,15.474513630640308,13
Brazil.regions.BA:Ilhéus,162327.0,1588.555,102.18531936256535,21
Brazil.regions.BA:Ipiaú,45873.0,280.454,163.56693076226404,85
Brazil.regions.BA:Ipirá,59595.0,3105.28,19.191506079967024,13
Brazil.regions.BA:Irecê,72967.0,319.174,228.61197967252974,56
Brazil.regions.BA:Itabela,30584.0,924.926,33.066429098111634,7
Brazil.regions.BA:Itaberaba,64489.0,2386.39,27.02366335762386,13
Brazil.regions.BA:Itabuna,213223.0,401.028,531.6910539912425,84
Brazil.regions.BA:Itacaré,28296.0,726.265,38.96098531527748,7
Brazil.regions.BA:Itagi,12351.0,310.621,39.762282653136786,7
Brazil.regions.BA:Itagibá,14579.0,810.994,17.97670512975435,13
Brazil.regions.BA:Itajuípe,20491.0,270.752,75.68180475121144,49
Brazil.regions.BA:Itamaraju,64486.0,2360.289,27.32123057811988,13
Brazil.regions.BA:Itamari,8035.0,143.479,56.001226660347506,122
Brazil.regions.BA:Itapebi,10259.0,1013.074,10.126604769246867,66
Brazil.regions.BA:Itapetinga,76147.0,1651.158,46.117330988312446,7
Brazil.regions.BA:Itapé,8761.0,453.144,19.333810003001254,13
Brazil.regions.BA:Itarantim,19747.0,1674.029,11.796091943449008,66
Brazil.regions.BA:Itatim,14487.0,547.51,26.459790688754545,13
Brazil.regions.BA:Itororó,20382.0,314.064,64.89760048907229,49
Brazil.regions.BA:Ituberá,28602.0,415.428,68.84947572142465,49
Brazil.regions.BA:Jaguaquara,54423.0,924.743,58.852026995608504,122
Brazil.regions.BA:Jequié,155966.0,2969.034,52.53089051859965,122
Brazil.regions.BA:Juazeiro,216707.0,6721.237,32.24213042926473,7
Brazil.regions.BA:Laje,23840.0,449.834,52.99732790318206,122
Brazil.regions.BA:Lauro de Freitas,198440.0,57.664,3441.315205327414,29
Brazil.regions.BA:Licínio de Almeida,12388.0,856.626,14.46138688295709,66
Brazil.regions.BA:Livramento de Nossa Senhora,45732.0,1953.38,23.41172736487524,13
Brazil.regions.BA:Luís Eduardo Magalhães,87519.0,3940.537,22.209917074754024,13
Brazil.regions.BA:Maragogipe,44677.0,438.182,101.9599161992049,21
Brazil.regions.BA:Medeiros Neto,22688.0,1311.739,17.296123695338782,13
Brazil.regions.BA:Mirante,8641.0,1172.861,7.367454455387296,66
Brazil.regions.BA:Morpará,8519.0,2093.872,4.068539051097679,66
Brazil.regions.BA:Mucugê,9062.0,2462.153,3.6805186355194013,66
Brazil.regions.BA:Nilo Peçanha,13997.0,390.964,35.80125024298913,7
Brazil.regions.BA:Nova Soure,26947.0,921.712,29.23581335601576,13
Brazil.regions.BA:Oliveira dos Brejinhos,21825.0,3313.418,6.586853816813936,66
Brazil.regions.BA:Ouriçangas,8564.0,156.982,54.55402530226395,122
Brazil.regions.BA:Palmeiras,9019.0,737.454,12.229915357432464,66
Brazil.regions.BA:Paramirim,21607.0,1087.06,19.87654775265395,13
Brazil.regions.BA:Paulo Afonso,117782.0,1545.191,76.2248809370492,49
Brazil.regions.BA:Piripá,10707.0,511.756,20.922080053775627,13
Brazil.regions.BA:Pojuca,39519.0,314.933,125.48383306925601,43
Brazil.regions.BA:Porto Seguro,148686.0,2285.764,65.04871019055335,122
Brazil.regions.BA:Prado,28174.0,1687.833,16.69240973484936,13
Brazil.regions.BA:Ribeira do Pombal,53807.0,1177.453,45.69779006041006,7
Brazil.regions.BA:Rio Real,40732.0,738.606,55.147128509651964,122
Brazil.regions.BA:Rio do Pires,11655.0,656.223,17.760730727207065,13
Brazil.regions.BA:Salvador,2872347.0,693.831,4139.836646099699,52
Brazil.regions.BA:Santa Cruz Cabrália,27778.0,1462.942,18.987765748744653,13
Brazil.regions.BA:Santa Luzia,12597.0,824.462,15.279054704765047,66
Brazil.regions.BA:Santa Maria da Vitória,39845.0,1984.91,20.073958013209666,13
Brazil.regions.BA:Santa Teresinha,10405.0,719.257,14.466317324683668,66
Brazil.regions.BA:Serra Preta,14878.0,595.298,24.992524752308928,13
Brazil.regions.BA:Serra do Ramalho,31472.0,2342.146,13.437249428515557,66
Brazil.regions.BA:Serrinha,80861.0,583.314,138.62345152010752,53
Brazil.regions.BA:Simões Filho,134377.0,201.222,667.8047132023337,42
Brazil.regions.BA:Sátiro Dias,17273.0,1008.179,17.132870254190973,13
Brazil.regions.BA:São Domingos,9058.0,289.963,31.238468356307525,13
Brazil.regions.BA:São Francisco do Conde,39802.0,269.608,147.62915047031245,53
Brazil.regions.BA:São José da Vitória,5657.0,127.925,44.22122337307016,7
Brazil.regions.BA:Taperoá,21074.0,452.004,46.6234812081309,7
Brazil.regions.BA:Teixeira de Freitas,160487.0,1165.622,137.6835715180393,53
Brazil.regions.BA:Ubatã,27035.0,177.643,152.18725196039247,53
Brazil.regions.BA:Una,19002.0,1126.733,16.86468755241925,13
Brazil.regions.BA:Uruçuca,20519.0,510.098,40.225603707522865,7
Brazil.regions.BA:Utinga,19178.0,633.76,30.260666498359,13
Brazil.regions.BA:Valente,28473.0,394.876,72.10618016795146,49
Brazil.regions.BA:Valença,96562.0,1124.319,85.88487786829184,73
Brazil.regions.BA:Vera Cruz,43223.0,299.367,144.38131123336908,53
Brazil.regions.BA:Vitória da Conquista,338480.0,3705.838,91.3369661598807,73
Brazil.regions.BA:Água Fria,16970.0,743.014,22.839408140358056,13
Brazil.regions.CE,9132078.0,148894.757,61.33243496277038,78
Brazil.regions.CE:Acarape,14929.0,155.169,96.21122775812178,73
Brazil.regions.CE:Acaraú,62641.0,845.468,74.09032630448462,49
Brazil.regions.CE:Acopiara,54270.0,2265.349,23.95657357872893,13
Brazil.regions.CE:Alcântaras,11714.0,138.605,84.51354568738502,73
Brazil.regions.CE:Alto Santo,17146.0,1338.205,12.812685649807019,66
Brazil.regions.CE:Amontada,43452.0,1178.162,36.88117593336061,7
Brazil.regions.CE:Apuiarés,14600.0,545.158,26.78122672693054,13
Brazil.regions.CE:Aquiraz,80271.0,480.997,166.88461674397138,85
Brazil.regions.CE:Aracati,74547.0,1230.507,60.58234532595101,122
Brazil.regions.CE:Aracoiaba,26469.0,656.597,40.3123986250318,7
Brazil.regions.CE:Ararendá,10935.0,344.131,31.775690071513466,13
Brazil.regions.CE:Araripe,21600.0,1099.933,19.63755974227521,13
Brazil.regions.CE:Arneiroz,7840.0,1066.362,7.352099943546375,66
Brazil.regions.CE:Banabuiú,18197.0,1080.329,16.843942909983905,13
Brazil.regions.CE:Barbalha,60781.0,569.508,106.72545425174009,21
Brazil.regions.CE:Barreira,22425.0,245.805,91.23085372551412,73
Brazil.regions.CE:Barroquinha,15017.0,384.9,39.015328656793976,7
Brazil.regions.CE:Baturité,35750.0,308.581,115.85288789653283,43
Brazil.regions.CE:Beberibe,53573.0,1620.344,33.06273235806717,7
Brazil.regions.CE:Bela Cruz,32591.0,843.021,38.65977241373584,7
Brazil.regions.CE:Boa Viagem,54470.0,2836.783,19.20132770113188,13
Brazil.regions.CE:Brejo Santo,49477.0,663.429,74.57768653465556,49
Brazil.regions.CE:Camocim,63661.0,1128.894,56.39236279048343,122
Brazil.regions.CE:Campos Sales,27426.0,1082.769,25.32950241464246,13
Brazil.regions.CE:Canindé,76997.0,3218.481,23.92339740393061,13
Brazil.regions.CE:Capistrano,17738.0,222.549,79.70379556861634,49
Brazil.regions.CE:Caridade,22547.0,846.505,26.635400854100094,13
Brazil.regions.CE:Cariré,18448.0,756.875,24.373905862923205,13
Brazil.regions.CE:Cariús,18699.0,1061.803,17.610611384597707,13
Brazil.regions.CE:Carnaubal,17606.0,364.839,48.25690235967098,7
Brazil.regions.CE:Cascavel,71743.0,834.963,85.92356787067212,73
Brazil.regions.CE:Catarina,20698.0,486.864,42.51289887935851,7
Brazil.regions.CE:Caucaia,361400.0,1227.931,294.3162115786636,62
Brazil.regions.CE:Chorozinho,20264.0,278.413,72.78395764565592,49
Brazil.regions.CE:Coreaú,23136.0,775.796,29.822272865547127,13
Brazil.regions.CE:Crateús,75074.0,2985.152,25.14913813433956,13
Brazil.regions.CE:Crato,132123.0,1176.467,112.30489252992221,21
Brazil.regions.CE:Croatá,18063.0,696.984,25.915946420577804,13
Brazil.regions.CE:Ererê,7198.0,382.707,18.808122140436417,13
Brazil.regions.CE:Eusébio,53618.0,79.005,678.665907221062,42
Brazil.regions.CE:Farias Brito,19450.0,503.622,38.62023501753299,7
Brazil.regions.CE:Forquilha,24218.0,516.993,46.84396113680456,7
Brazil.regions.CE:Fortaleza,2669342.0,312.407,8544.437224518017,137
Brazil.regions.CE:Fortim,16480.0,277.973,59.28633356477068,122
Brazil.regions.CE:Granja,54748.0,2663.032,20.55852126448349,13
Brazil.regions.CE:Graça,14399.0,281.872,51.08347051143782,122
Brazil.regions.CE:Groaíras,11068.0,155.947,70.97283051293067,49
Brazil.regions.CE:Guaiúba,26064.0,267.128,97.57120182084994,21
Brazil.regions.CE:Guaraciaba do Norte,40642.0,611.464,66.46670940562322,49
Brazil.regions.CE:Hidrolândia,19978.0,966.853,20.66291359699975,13
Brazil.regions.CE:Horizonte,67337.0,160.764,418.8562115896593,24
Brazil.regions.CE:Ibaretama,13353.0,877.256,15.221326499904247,66
Brazil.regions.CE:Ibicuitinga,12525.0,424.915,29.476483532000515,13
Brazil.regions.CE:Icapuí,19934.0,423.539,47.06532338226232,7
Brazil.regions.CE:Icó,68018.0,1871.995,36.33449875667403,7
Brazil.regions.CE:Iguatu,102498.0,1029.214,99.58861811051929,21
Brazil.regions.CE:Independência,26178.0,3218.678,8.133152803728736,66
Brazil.regions.CE:Ipaporanga,11593.0,702.126,16.51128145090767,13
Brazil.regions.CE:Ipaumirim,12463.0,275.159,45.2938119414593,7
Brazil.regions.CE:Ipueiras,38166.0,1477.407,25.83309812394283,13
Brazil.regions.CE:Iracema,14297.0,821.247,17.408891600212847,13
Brazil.regions.CE:Itaitinga,37980.0,151.633,250.4731819590722,12
Brazil.regions.CE:Itaiçaba,7827.0,212.109,36.90083871971486,7
Brazil.regions.CE:Itapajé,52675.0,430.565,122.33925191318384,43
Brazil.regions.CE:Itapipoca,129358.0,1613.913,80.1517801765027,49
Brazil.regions.CE:Itapiúna,20382.0,588.699,34.6221073927423,7
Brazil.regions.CE:Itarema,41826.0,718.016,58.25218379534718,122
Brazil.regions.CE:Itatira,21647.0,783.436,27.63084668052017,13
Brazil.regions.CE:Jaguaretama,18162.0,1759.401,10.322831463662917,66
Brazil.regions.CE:Jaguaribe,34682.0,1876.806,18.47926743627205,13
Brazil.regions.CE:Jaguaruana,33705.0,867.563,38.850204538460034,7
Brazil.regions.CE:Jardim,27174.0,552.424,49.190476880077625,7
Brazil.regions.CE:Juazeiro do Norte,274207.0,248.832,1101.976433899177,20
Brazil.regions.CE:Jucás,24833.0,937.189,26.497323378742177,13
Brazil.regions.CE:Lavras da Mangabeira,31508.0,947.968,33.23740885768296,7
Brazil.regions.CE:Limoeiro do Norte,59540.0,750.068,79.37946959475674,49
Brazil.regions.CE:Maracanaú,227886.0,106.648,2136.8051909084093,48
Brazil.regions.CE:Maranguape,128978.0,590.873,218.28379364093468,56
Brazil.regions.CE:Massapê,38737.0,566.581,68.3697476618524,49
Brazil.regions.CE:Mauriti,47962.0,1049.488,45.70037961367829,7
Brazil.regions.CE:Milagres,27512.0,605.193,45.45987808847756,7
Brazil.regions.CE:Mombaça,43797.0,2119.48,20.66403080000755,13
Brazil.regions.CE:Mulungu,10823.0,134.568,80.4277391356043,49
Brazil.regions.CE:Nova Olinda,15565.0,284.401,54.72906213409939,122
Brazil.regions.CE:Novo Oriente,28607.0,949.393,30.131884267105402,13
Brazil.regions.CE:Ocara,25703.0,765.412,33.580607568211626,7
Brazil.regions.CE:Orós,21427.0,576.27,37.182223610460376,7
Brazil.regions.CE:Pacajus,72203.0,254.636,283.5537787272813,12
Brazil.regions.CE:Pacatuba,83432.0,131.994,632.089337394124,124
Brazil.regions.CE:Pacoti,12261.0,112.021,109.45269190598191,21
Brazil.regions.CE:Paracuru,35076.0,302.468,115.96598648452067,43
Brazil.regions.CE:Pedra Branca,43258.0,1303.287,33.19146128212742,7
Brazil.regions.CE:Pentecoste,37751.0,1378.258,27.39037248468719,13
Brazil.regions.CE:Pereiro,16307.0,433.514,37.61585554330425,7
Brazil.regions.CE:Pindoretama,20567.0,75.14,273.71573063614585,12
Brazil.regions.CE:Porteiras,14996.0,217.58,68.92177589852008,49
Brazil.regions.CE:Potiretama,6419.0,410.338,15.643201458309978,66
Brazil.regions.CE:Quiterianópolis,21084.0,1040.989,20.253816322746925,13
Brazil.regions.CE:Quixadá,87728.0,2019.834,43.433272239203816,7
Brazil.regions.CE:Quixelô,16178.0,559.561,28.911950618431234,13
Brazil.regions.CE:Quixeramobim,81082.0,3275.625,24.75313871398588,13
Brazil.regions.CE:Quixeré,22149.0,613.576,36.09821766170776,7
Brazil.regions.CE:Redenção,29053.0,225.821,128.654996656644,53
Brazil.regions.CE:Reriutaba,18491.0,383.319,48.239195030770716,7
Brazil.regions.CE:Russas,78194.0,1590.257,49.17066864035184,7
Brazil.regions.CE:Salitre,16554.0,804.356,20.58043950688501,13
Brazil.regions.CE:Santa Quitéria,43703.0,4260.479,10.257766791011058,66
Brazil.regions.CE:Santana do Acaraú,32452.0,969.326,33.47893278422326,7
Brazil.regions.CE:Senador Pompeu,25496.0,1002.131,25.44178355923527,13
Brazil.regions.CE:Senador Sá,7623.0,423.919,17.98220886537287,13
Brazil.regions.CE:Sobral,208935.0,2122.898,98.4197073999787,21
Brazil.regions.CE:Solonópole,18324.0,1536.165,11.928406128247943,66
Brazil.regions.CE:São Benedito,47903.0,338.21,141.63685284290827,53
Brazil.regions.CE:São Gonçalo do Amarante,48422.0,833.894,58.06733229882935,122
Brazil.regions.CE:São João do Jaguaribe,7645.0,280.456,27.25917791026043,13
Brazil.regions.CE:São Luís do Curu,13000.0,122.42,106.19179872569842,21
Brazil.regions.CE:Tabuleiro do Norte,30697.0,861.828,35.618476076432884,7
Brazil.regions.CE:Tauá,58859.0,4018.162,14.648239667788408,13
Brazil.regions.CE:Tianguá,75946.0,908.888,83.5592504246948,73
Brazil.regions.CE:Trairi,55918.0,929.023,60.19011370009139,122
Brazil.regions.CE:Tururu,16271.0,202.276,80.43959738179517,49
Brazil.regions.CE:Umirim,19825.0,316.724,62.593930362081814,122
Brazil.regions.CE:Uruburetama,21850.0,97.072,225.09065435965056,56
Brazil.regions.CE:Uruoca,13840.0,696.754,19.86353863774015,13
Brazil.regions.CE:Viçosa do Ceará,60889.0,1311.628,46.42246124663396,7
Brazil.regions.CE:Várzea Alegre,40721.0,835.709,48.72629108936245,7
Brazil.regions.DF,3015268.0,5760.783,523.4128763399003,76
Brazil.regions.DF:Brasília,3015268.0,5760.783,523.4128763399003,76
Brazil.regions.ES,4018650.0,46074.444,87.220802924936,3
Brazil.regions.ES:Afonso Cláudio,30586.0,941.188,32.49722690897037,7
Brazil.regions.ES:Alegre,30084.0,772.0,38.968911917098445,7
Brazil.regions.ES:Alfredo Chaves,14601.0,615.677,23.71535724089092,13
Brazil.regions.ES:Alto Rio Novo,7836.0,227.617,34.426251114811286,7
Brazil.regions.ES:Anchieta,29263.0,409.691,71.42700230173473,49
Brazil.regions.ES:Apiacá,7567.0,193.984,39.00837182448037,7
Brazil.regions.ES:Aracruz,101220.0,1420.285,71.26738647524968,49
Brazil.regions.ES:Boa Esperança,15037.0,428.716,35.07450153481559,7
Brazil.regions.ES:Bom Jesus do Norte,9936.0,89.084,111.53518027928696,21
