key,population,area_km,population_density,cluster
Afghanistan,37172386.0,652860.0,56.93776000980302,179
Albania,2866376.0,27400.0,104.61226277372263,59
Algeria,42228429.0,2381740.0,17.730075071166457,165
Andorra,77006.0,470.0,163.84255319148937,162
Angola,30809762.0,1246700.0,24.713052057431618,70
Antigua_and_Barbuda,96286.0,440.0,218.8318181818182,183
Argentina,44494502.0,2736690.0,16.25851009796506,133
Armenia,2951776.0,28470.0,103.68022479803302,59
Aruba,105845.0,180.0,588.0277777777778,39
Australia,24992369.0,7692020.0,3.2491294874428305,115
Austria,8847037.0,82522.998046875,107.20692666757787,122
Azerbaijan,9942334.0,82670.0,120.26531994677634,91
Bahamas,385640.0,10010.0,38.52547452547453,25
Bahrain,1569439.0,778.000030517578,2017.2736997913785,35
Bangladesh,161356039.0,130170.0,1239.5793116693555,119
Barbados,286641.0,430.0,666.606976744186,54
Belarus,9485386.0,202988.0078125,46.728799904089165,40
Belgium,11422068.0,30280.0,377.21492734478204,29
Belize,383071.0,22810.0,16.79399386234108,80
Benin,11485048.0,112760.0,101.85391982972685,18
Bermuda,63968.0,54.000000953674295,1184.5925716719355,62
Bhutan,754394.0,38143.9990234375,19.77752777144484,26
Bolivia,11353142.0,1083300.0,10.480145850641557,128
Bosnia_and_Herzegovina,3323929.0,51200.0,64.92048828125,0
Botswana,2254126.0,566730.0,3.9774248760432656,172
Brazil,209469333.0,8358140.0,25.061716243087577,103
Brazil.regions.AC,881935.0,164123.738,5.373598059288657,79
Brazil.regions.AC:Acrelândia,15256.0,1807.948,8.438295791693124,84
Brazil.regions.AC:Assis Brasil,7417.0,4974.175,1.4911015394512657,82
Brazil.regions.AC:Brasiléia,26278.0,3916.502,6.7095586827224905,84
Brazil.regions.AC:Bujari,10266.0,3034.869,3.382683074623649,84
Brazil.regions.AC:Capixaba,11733.0,1701.974,6.89375983416903,84
Brazil.regions.AC:Cruzeiro do Sul,88376.0,8779.403,10.066288106378076,82
Brazil.regions.AC:Epitaciolândia,18411.0,1654.768,11.126030960231283,34
Brazil.regions.AC:Feijó,34780.0,27975.426,1.2432339725586306,80
Brazil.regions.AC:Marechal Thaumaturgo,18867.0,8191.692,2.303187180377387,82
Brazil.regions.AC:Mâncio Lima,18977.0,5452.853,3.4801965136415745,82
Brazil.regions.AC:Plácido de Castro,19761.0,1943.85,10.165907863261054,84
Brazil.regions.AC:Porto Acre,18504.0,2604.885,7.1035765494446,84
Brazil.regions.AC:Rio Branco,407319.0,8834.942,46.10318890605055,106
Brazil.regions.AC:Rodrigues Alves,18930.0,3076.951,6.152194168837918,84
Brazil.regions.AC:Santa Rosa do Purus,6540.0,6145.612,1.0641739179108607,82
Brazil.regions.AC:Sena Madureira,45848.0,23753.066,1.930192927515126,80
Brazil.regions.AC:Senador Guiomard,23024.0,2322.03,9.915461901870346,84
Brazil.regions.AC:Tarauacá,42567.0,20171.075,2.110299029674918,47
Brazil.regions.AC:Xapuri,19323.0,5347.468,3.613485859101915,82
Brazil.regions.AL,3337357.0,27843.295,119.86214275286025,59
Brazil.regions.AL:Anadia,17545.0,186.134,94.26004921185813,192
Brazil.regions.AL:Arapiraca,231747.0,345.655,670.4575371396335,54
Brazil.regions.AL:Atalaia,47185.0,533.258,88.48437341774525,192
Brazil.regions.AL:Barra de Santo Antônio,15932.0,131.364,121.28132517280228,3
Brazil.regions.AL:Barra de São Miguel,8322.0,74.244,112.08986584774527,3
Brazil.regions.AL:Batalha,18232.0,319.036,57.14715580686819,5
Brazil.regions.AL:Boca da Mata,27281.0,185.973,146.69333720486307,64
