region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.RS:Saldanha Marinho,9.37440758293839,1.0,696.4397886549237,60.69776902421855,False
United_States_of_America.regions.Colorado:Eagle,341.2456710563184,2.705519753432334,679.0601952419819,7.427347032967093,False
United_States_of_America.regions.Georgia:Brooks,8.976653696498055,3.2809338521400777,277.4979648533915,35.93326602625096,False
United_States_of_America.regions.Georgia:Dooly,65.48371942329499,6.1299206220638265,820.8433732144762,62.94470997319467,False
United_States_of_America.regions.Georgia:Mitchell,226.114653784219,23.04927536231884,1240.0256905232197,115.52094229647925,False
United_States_of_America.regions.Georgia:Worth,83.91224432614179,7.085458111515831,650.7048588359404,46.23561855209994,False
United_States_of_America.regions.Indiana:Newton,6.9578750467639345,4.553684998129442,323.06415762050415,48.92907595207057,False
United_States_of_America.regions.Kansas:Finney,482.8887159533074,1.1322957198443582,1410.0827283110712,4.785325228479689,False
United_States_of_America.regions.Kansas:Ford,479.72249929952375,2.018492574950967,1512.931640206299,2.4964477737293134,False
United_States_of_America.regions.Kansas:Seward,468.72446391514876,2.24002766889555,2355.098869770171,1.8089943395934986,False
United_States_of_America.regions.Kentucky:Butler,85.79364010475122,1.538346427235316,997.7760407397888,29.88109047578683,False
United_States_of_America.regions.Kentucky:Jackson,12.567796610169491,6.42130750605327,379.77867943247355,64.03145382002818,False
United_States_of_America.regions.Louisiana:East Feliciana,64.0451993067591,10.842287694974003,569.1114182399382,68.36594022934491,False
United_States_of_America.regions.Louisiana:Franklin,92.83621399176955,1.4074074074074077,679.9918984947673,16.033444765010486,False
United_States_of_America.regions.Louisiana:Plaquemines,101.27587559540488,11.023255813953488,637.5473848840473,57.07473134571251,False
United_States_of_America.regions.Louisiana:Pointe Coupee,47.76284228769499,9.803812824956674,420.6984872532002,55.187979192369944,False
United_States_of_America.regions.Louisiana:West Feliciana,73.46868250539957,2.0071994240460764,764.9174403432667,21.578630404529736,False
United_States_of_America.regions.Minnesota:Nobles,865.8346730975348,1.0262593783494105,4161.734095058626,4.808225032897972,False
United_States_of_America.regions.Mississippi:Leake,137.3790144927536,1.5733333333333333,776.9338463718445,7.406856150148873,False
United_States_of_America.regions.Missouri:Saline,122.26845637583892,2.4784276126558007,703.5402363628388,1.8622472444215863,False
United_States_of_America.regions.Tennessee:Bledsoe,398.9940142162364,2.3696221473999253,2862.6615970059624,2.4078748584875793,False
United_States_of_America.regions.Virginia:Buckingham,121.02767465406683,1.9406007424907188,906.5626510961253,3.735919358802782,False
United_States_of_America.regions.Virginia:Greensville,15.3727626459144,2.821011673151751,269.55584177035576,41.7729116564442,False
Brazil.regions.PE:Recife,2242.9500140095265,145.9209862706641,108.0165399385682,7.4504394165314265,False
Czechia,4782.737125245167,112.32277949005325,11.615088082338769,0.9373059784767643,False
Hungary,1443.4953208181564,140.23816195012608,27.101888954155548,0.9730765108964169,False
Portugal,14142.59478845615,475.95292799103396,100.45834299459375,3.1649684592536094,False
Brazil.regions.RN:Taboleiro Grande,15.585651537335286,0.9224011713030748,106.52990544344672,35.947044867617876,False
Brazil.regions.SP:São João das Duas Pontes,0.9523809523809524,1.0,74.48875044456521,38.940809968847354,False
United_States_of_America.regions.Alabama:Chambers,197.67766881479406,13.520313813393107,721.8906060958506,46.71271367861001,False
United_States_of_America.regions.Alabama:Tallapoosa,192.24822871348667,22.56494717215662,569.6763153727136,60.47754610234161,False
United_States_of_America.regions.Indiana:Orange,33.35272097053727,8.446447140381283,350.08150511917484,54.34154204717904,False
United_States_of_America.regions.Kentucky:Adair,32.482165337809484,7.8069660092320605,365.6696033107869,51.49417844408976,False
United_States_of_America.regions.Louisiana:Iberville,314.4368170355842,22.60409078173158,1098.5165569073633,75.76699638131194,False
United_States_of_America.regions.Mississippi:Scott,218.20218548613056,2.3636873073690112,923.2051305066955,7.5023894918758325,False
United_States_of_America.regions.South Carolina:Clarendon,125.6847856542449,13.879966377136453,497.3385793475547,47.069478410309706,False
United_States_of_America.regions.Tennessee:Lake,98.5350669818755,2.1591804570527975,1931.1980484649107,1.6223705045179113,False
United_States_of_America.regions.Virginia:Northampton,62.59105719237436,2.4381282495667245,734.7724563910594,18.9661996765208,False
United_States_of_America.regions.Virginia:Richmond,94.66826462128475,1.348993288590604,1462.2601211843637,15.885861285684193,False
United_States_of_America.regions.Maryland,10315.949957971421,456.35416082936405,136.4694227967241,6.360562703688833,False
United_States_of_America.regions.Minnesota:Hennepin,1204.4168674698797,138.06108153544412,62.733289909607386,9.47133015943438,False
United_States_of_America.regions.New York:Westchester,17923.749957971424,563.2333987111236,1815.9558430788936,56.77991442404784,False
Brazil.regions.AM:Amaturá,64.64413518886681,1.0172299536116634,810.7316652798403,18.786431713131087,False
United_States_of_America.regions.Colorado:Logan,200.52790553138595,1.2865133623368552,1026.2353174257485,4.5279157729894335,False
United_States_of_America.regions.Montana:Toole,25.763951473136917,2.640970537261698,530.5065325069551,109.02641801473989,False
United_States_of_America.regions.Oklahoma:Texas,201.98521400778213,0.9673151750972763,1169.452998627421,8.660117141504557,False
United_States_of_America.regions.Texas:Oldham,52.9487536231884,1.8346666666666667,97.19720517636512,44.7023326610027,False
United_States_of_America.regions.Utah:Summit,258.0150742504904,2.684225273185766,703.8241189734882,2.016880014115297,False
Dominican_Republic,2857.2260016811433,137.04118800784536,15.513070755766181,0.8431608598563407,False
Switzerland,17713.4170355842,579.4558699915942,169.21344097603455,5.380712434095529,False
