region,similarity,distance,days
Brazil.regions.PE:Cortês,0.9256393001345895,1.4166666666666667,12
Brazil.regions.PB:Mamanguape,0.9212651413189771,1.5,12
Brazil.regions.PB:Pilõezinhos,0.9284228557445247,1.3636363636363635,11
Brazil.regions.SE:Boquim,0.9284228557445247,1.3636363636363635,11
Brazil.regions.PB:Pilar,0.9236510461274929,1.4545454545454546,11
Brazil.regions.SP:Ibaté,0.9236510461274929,1.4545454545454546,11
Brazil.regions.PE:Joaquim Nabuco,0.9422611036339166,1.1,10
Brazil.regions.SP:Osvaldo Cruz,0.9370121130551817,1.2,10
Brazil.regions.BA:São Gonçalo dos Campos,0.9265141318977119,1.4,10
Brazil.regions.MA:Pindaré-Mirim,0.889771197846568,2.1,10
Brazil.regions.SE:Malhador,0.9300134589502019,1.3333333333333333,9
Brazil.regions.PB:Pirpirituba,0.9343876177658142,1.25,8
Brazil.regions.PB:Matinhas,0.9400115362430301,1.1428571428571428,7
Brazil.regions.SP:Bertioga,0.9400115362430301,1.1428571428571428,7
Brazil.regions.SC:Xanxerê,0.9300134589502019,1.3333333333333333,6
Brazil.regions.SE:Moita Bonita,0.9300134589502019,1.3333333333333333,6
Brazil.regions.MG:Ponte Nova,0.9212651413189771,1.5,6
Brazil.regions.PB:Riachão do Bacamarte,0.9370121130551817,1.2,5
Brazil.regions.PB:Sobrado,0.9265141318977119,1.4,5
Brazil.regions.AL:Coité do Nóia,0.9160161507402422,1.6,5
Brazil.regions.SE:Riachuelo,0.9160161507402422,1.6,5
Brazil.regions.RS:Frederico Westphalen,0.90814266487214,1.75,4
Brazil.regions.SP:Santa Cruz das Palmeiras,0.8687752355316285,2.5,2
Brazil.regions.CE:Palmácia,0.9475100942126514,1.0,1
Brazil.regions.MG:Manhumirim,0.9475100942126514,1.0,1
Brazil.regions.PB:Juarez Távora,0.9475100942126514,1.0,1
