region,similarity,distance,days,is_same_cluster,score
Brazil.regions.SP:Taiaçu,0.9999990258559702,0.5930735930735931,21,True,1.4999985387839554
Brazil.regions.SE:Indiaroba,0.9999990187454298,0.5974025974025974,21,True,1.4999985281181447
Brazil.regions.SC:Santa Rosa do Sul,0.9999989049767841,0.6666666666666666,21,True,1.4999983574651763
Brazil.regions.PR:Rio Negro,0.9999985921130081,0.8571428571428571,21,True,1.4999978881695122
Brazil.regions.CE:Camocim,0.999998492565443,0.9177489177489178,21,True,1.4999977388481645
Brazil.regions.PA:Tucuruí,0.9999984712338219,0.9307359307359307,21,True,1.4999977068507329
Brazil.regions.ES:Pedro Canário,0.9999984499022009,0.9437229437229437,21,True,1.4999976748533013
Brazil.regions.RJ:Valença,0.9999984427916605,0.948051948051948,21,True,1.4999976641874908
Brazil.regions.MG:Leopoldina,0.9999984001284183,0.974025974025974,21,True,1.4999976001926276
Brazil.regions.BA:Rio Real,0.9999983219124743,1.0216450216450217,21,True,1.4999974828687115
Brazil.regions.PR:Guaíra,0.9999982721386917,1.051948051948052,21,True,1.4999974082080376
Brazil.regions.CE:Itarema,0.99999823658599,1.0735930735930737,21,True,1.499997354878985
Brazil.regions.ES:Castelo,0.9999982294754496,1.077922077922078,21,True,1.4999973442131744
Brazil.regions.PR:Guarapuava,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.MG:Pirapetinga,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.PR:Barracão,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.PR:Japurá,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.PE:Capoeiras,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.MG:Itapeva,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.PE:Poção,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.RN:Januário Cicco,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.RN:Luís Gomes,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.RN:Serra de São Bento,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.GO:Caldas Novas,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.PB:Bom Jesus,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.SC:Itapiranga,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.SP:São Pedro,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.BA:Coração de Maria,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.BA:Jequié,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.BA:Ouriçangas,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.CE:Fortim,0.9999981939227478,1.0995670995670996,21,True,1.4999972908841217
Brazil.regions.RN:Caicó,0.9999981512595056,1.1255411255411256,21,True,1.4999972268892585
Brazil.regions.BA:Camacan,0.9999980303803194,1.199134199134199,21,True,1.4999970455704792
Brazil.regions.SC:Ilhota,0.9999973619895253,1.606060606060606,21,True,1.499996042984288
Brazil.regions.SP:Santa Lúcia,0.9999973122157427,1.6363636363636365,21,True,1.4999959683236141
Brazil.regions.RJ:Piraí,0.9999971344522337,1.7445887445887447,21,True,1.4999957016783505
Brazil.regions.PE:Correntes,0.9999971344522337,1.7445887445887447,21,True,1.4999957016783505
Brazil.regions.SP:Pariquera-Açu,0.9999970064625071,1.8225108225108224,21,True,1.4999955096937607
Brazil.regions.ES:Rio Novo do Sul,0.9999968571411595,1.9134199134199135,21,True,1.4999952857117393
Brazil.regions.AL:Ibateguara,0.9999965442773835,2.103896103896104,21,True,1.4999948164160752
Brazil.regions.SP:Santa Branca,0.999996494503601,2.134199134199134,21,True,1.4999947417554014
Brazil.regions.BA:Jaguaquara,0.9999958972182105,2.497835497835498,21,True,1.4999938458273157
Brazil.regions.SC:Lages,0.999995790560105,2.5627705627705626,21,True,1.4999936858401575
Brazil.regions.PR:Telêmaco Borba,0.9999947666422928,3.186147186147186,21,True,1.4999921499634392
Brazil.regions.ES:João Neiva,0.9999944253363553,3.393939393939394,21,True,1.4999916380045328
Brazil.regions.SP:Mineiros do Tietê,0.9999935080766486,3.9523809523809526,21,True,1.4999902621149728
Brazil.regions.SC:Catanduvas,0.999992853906935,4.35064935064935,21,True,1.4999892808604025
Brazil.regions.SP:Juquitiba,0.9999927045855874,4.441558441558442,21,True,1.4999890568783811
Brazil.regions.CE:Nova Olinda,0.9999922210688428,4.735930735930736,21,True,1.499988331603264
Brazil.regions.SP:Nazaré Paulista,0.9999912042615708,5.354978354978355,21,True,1.4999868063923563
Brazil.regions.ES:Santa Maria de Jetibá,0.9999908913977948,5.545454545454546,21,True,1.4999863370966922
Brazil.regions.ES:São Mateus,0.9999907278553666,5.645021645021645,21,True,1.4999860917830499
Brazil.regions.SP:Andradina,0.9999892915262132,6.51948051948052,21,True,1.4999839372893198
Brazil.regions.PA:Santa Maria do Pará,0.9999864615311487,8.242424242424242,21,True,1.499979692296723
Brazil.regions.PA:Terra Alta,0.9999847123382194,9.307359307359308,21,True,1.499977068507329
Brazil.regions.PA:Santo Antônio do Tauá,0.9999815054845156,11.25974025974026,21,True,1.4999722582267734
Brazil.regions.SP:Ilha Comprida,0.9999805811142685,11.822510822510823,21,True,1.4999708716714026
Brazil.regions.ES:Marechal Floriano,0.9999794078751085,12.536796536796537,21,True,1.4999691118126628
Sweden.regions.Blekinge,0.9999787821475565,12.917748917748918,21,True,1.4999681732213348
Brazil.regions.SP:Piraju,0.9999786754894511,12.982683982683982,21,True,1.4999680132341766
Brazil.regions.MA:Matinha,0.999977068507329,13.96103896103896,21,True,1.4999656027609936
Brazil.regions.PA:Curuçá,0.9999586522077887,25.173160173160174,21,True,1.499937978311683
Brazil.regions.PA:Bragança,0.9999451137389374,33.41558441558441,21,True,1.499917670608406
Brazil.regions.CE:São Gonçalo do Amarante,0.999940975404446,35.935064935064936,21,True,1.499911463106669
Sweden.regions.Halland,0.9998978428666035,62.1948051948052,21,True,1.4998467642999054
Brazil.regions.SP:Tuiuti,0.9999985295402529,0.8952380952380953,20,True,1.4249979045948604
Brazil.regions.RS:Getúlio Vargas,0.9999976222353025,1.4476190476190476,20,True,1.4249966116853061
Brazil.regions.SC:Seara,0.999995299221766,2.861904761904762,20,True,1.4249933013910163
Brazil.regions.SC:Turvo,0.9999987464865818,0.7631578947368421,19,True,1.3499983077568856
Brazil.regions.PE:Venturosa,0.9999948044030045,3.163157894736842,19,True,1.349992985944056
Brazil.regions.RN:Guamaré,0.9999884676765524,7.021052631578947,19,True,1.3499844313633456
Brazil.regions.SP:Ituverava,0.999999356433724,0.391812865497076,18,True,1.274999179452998
Brazil.regions.CE:Missão Velha,0.9999969454615556,1.8596491228070176,18,True,1.2749961054634833
Brazil.regions.SP:Guará,0.9999972946485254,1.6470588235294117,17,True,1.1999967535782305
Brazil.regions.BA:Santa Bárbara,0.9999944389997466,3.3856209150326797,17,True,1.199993326799696
Brazil.regions.MA:Pinheiro,0.9998413397244312,96.59477124183006,17,True,1.1998096076693177
Brazil.regions.SE:Aquidabã,0.9999996135212179,0.23529411764705882,16,True,1.1249995652113702
Brazil.regions.SP:Águas da Prata,0.9999992270424358,0.47058823529411764,16,True,1.1249991304227402
Brazil.regions.PE:Taquaritinga do Norte,0.9999963163741082,2.2426470588235294,16,True,1.1249958559208717
Brazil.regions.AL:Batalha,0.9999954105644627,2.7941176470588234,16,True,1.1249948368850207
