ID,CD_GCUF,NM_UF,NM_UF_SIGLA,AR_MUN_2018
1,11,Rondônia,RO,"237765,233"
2,12,Acre,AC,"164123,738"
3,13,Amazonas,AM,"1559168,117"
4,14,Roraima,RR,"224273,831"
5,15,Pará,PA,"1245759,305"
6,16,Amapá,AP,"142470,762"
7,17,Tocantins,TO,"277720,404"
8,21,Maranhão,MA,"329642,170"
9,22,Piauí,PI,"251616,823"
10,23,Ceará,CE,"148894,757"
11,24,Rio Grande do Norte,RN,"52809,602"
12,25,Paraíba,PB,"56467,239"
13,26,Pernambuco,PE,"98068,021"
14,27,Alagoas,AL,"27843,295"
15,28,Sergipe,SE,"21926,908"
16,29,Bahia,BA,"564722,611"
17,31,Minas Gerais,MG,"586521,121"
18,32,Espirito Santo,ES,"46074,444"
19,33,Rio de Janeiro,RJ,"43750,423"
20,35,São Paulo,SP,"248219,481"
21,41,Paraná,PR,"199305,236"
22,42,Santa Catarina,SC,"95730,921"
23,43,Rio Grande do Sul,RS,"281707,151"
24,50,Mato Grosso do Sul,MS,"357145,535"
25,51,Mato Grosso,MT,"903206,997"
26,52,Goiás,GO,"340125,715"
27,53,Distrito Federal,DF,"5760,783"
